Город;"Код пункта Выдачи заказа";Адрес;Телефон;Время работы;Индекс;Ограничение по весу 
Асбест;ASB1;Свердловская обл., г. Асбест ул. ул. Ленинградская, д.35;Тел.: + 7 (343) 656-71-02, +7(343) 656- 71-07;"Пн-Пт ? 10.00 - 19.00 Сб ? 10.00-16.0 Вс ? выходной";624260 
Астрахань;AST9;г. Астрахань, ул. Селенского, д.13, оф. 103;Тел.: +7 (8512) 20-04-99;"Пн-Пт ?10.00 ? 20.00 Сб ? 10.00-16.0 Вс ? 10:00-14:00";414056 
Астрахань;AST7;г. Астрахань, ул. Кирова, 84 ;Тел.: +7 (8512) 266-992, +7-988-171-88-14;"Пн-Пт ? 8.30-20.0 Сб ? 10.00-16.00 Вс ? 10:00-14:00";414024 
Ачинск;ACHN3;Красноярский край, г. Ачинск, ул. Калинина, д. 6, пом. 32;Тел.: +7 (39151) 5-71-86, +7-913-186-71-86  ;"Пн-Пт ? 10.00 - 19.00 Сб ? 10.00-16.0 Вс ? выходной";662153 
Балаково ;BLK2;Саратовская область, г.Балаково, Проспект Героев, д. 41, офис 321 ;Тел.: +7 (8453) 39-10-77;"Пн-Пт ? 9.00-19.0 Сб ? 10.00-16.00 Вс - выходной день";413864;До 30 кг 
Балахна;BLX1;Нижегородская область, г. Балахна, ул. Дзержинского, д.1;Тел.: +7 (831) 283 5990, +7 (930) 283 5990;"Пн-Пт ? 10.00-19.0 Сб - 10.00-16.00 Вс ? выходной день";606400 
Балашиха;BLSH1;Московская область, г. Балашиха, ул. Советская, д.56;Тел.: +7 (495) 665-80-50, +7 (925) 004-67-77;"Пн-Пт ? 10.00-19.0 Сб - 10.00-16.00 Вс ? выходной день";143902 
Барнаул;BRN3;г. Барнаул, ул. Балтийская, д.50;Тел. +7 (385) 276-00-66;"Пн-Пт ? 9.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";656058 
Барнаул;BRN5;г.Барнаул, пр-т Строителей, д.29 ;Тел. +7 (3852) 22-31-90 ;"Пн-Пт ? 9.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";656039 
Барнаул;BRN2;г. Барнаул, ул. Малахова, д.83;Тел. +7 (923) 654-00-23;"Пн-Пт ? 9.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";656039;До 15 кг 
Барнаул;BRN4;г. Барнаул, ул. Малахова, д. 179;Тел. +7(385) 222-31-90, +7(385) 260-52-81;"Пн-Пт ? 8.00-20.00 Сб ? 10.00-18.0 Вс ? 10.00-16.00";656006 
Барнаул ;BRN6;г. Барнаул, пр-т Ленина, д. 150;Тел. + 7(385) 255-50-40;"Пн-Пт ? 9.00-20.00 Сб ? 9.00-16.0 Вс ? 9.00-14.00";656037 
Батайск;BTS1;Ростовская область, г. Батайск, ул. Куйбышева, д.140А;Тел.: +7 (863) 209-87-45, +7 (800) 350-04-05;"Пн-Пт ? 9.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";346892 
Бахчисарай;BKHS1;Республика Крым г. Бахчисарай, ул. Фрунзе, д. 28 ;Тел.: + 7 (978) 133-93-55;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";298400 
Белгород;BLD6;г.Белгород, ул.Харьковская, д.34, корп.1;Тел.: +7 (4722) 218-370, + 7-920-580-34-34;"Пн-Пт ? 8.00-21.00 Сб ? Вс  10.00-16.0 ";308033 
Белгород;BLD8;г. Белгород, ул. Губкина, д.38А;Тел.: +7 (915) 563-25-44;"Пн-Пт ? 9.00-20.00 Сб-Вс ? 10.00-16.00";308000;До 30 кг 
Белово;BLO1;Кемеровская обл., г. Белово, пер. Почтовый, д.8;Тел.: +7 (900) 107-71-60, +7 (904) 575-50-68;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";652600 
Бердск;BRD1;Новосибирская область, г. Бердск, ул. Вокзальная, д.26, оф.209;Тел.: +7 (383) 38-082-38, +7 (38341) 61-308 ;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";633010 
Березники;BRZ2;Пермский край, г.Березники, ул. Пятилетки, д.50;Тел.: +7 (3424) 20-10-28 ;"Пн-Пт - 9.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";618417 
Бийск;BSK2 ;Алтайский край, г. Бийск, ул. Советская, д. 27/3, оф. 3  ;Тел.: +7 (3854) 35-68-41 ;"Пн-Пт ? 9:00-19:00 Сб ? 10:00-16:0 Вс ? выходной день";659300 
Биробиджан;BRZH2 ;г. Биробиджан, ул. Пионерская, д.66, литер Б;Тел.: +7 (42622) 7-00-10, +7 (42622) 7-00-20;"Пн-Пт ? 10:00-19:00 Сб ? 10:00-16:0 Вс ? выходной день";679016 
Благовещенск;BLG2;г.Благовещенск, ул. Тенистая, д.101А;Тел.: +7 (4162) 779-445, 387-445 ;"Пн-Пт ? 9.00-19.00 Сб ? 10.00-16.0 Вс ? выходной день";675000 
Борзя;BOR2;Забайкальский край, г. Борзя, ул. Савватеевская, д.132;Тел.:  +7 (914) 472-18-52;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс ? выходной день";674600 
Борисоглебск;BRG1;Воронежская обл., г. Борисоглебск, ул. Юбилейная, д.16, оф.12;Тел.: +7 (473-54) 6-49-39;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";397160 
Боровичи;BRV2;Новгородская область, г. Боровичи, ул. Подбельского, д.27, цокольный этаж;Тел.: +7 81664 44771, +7 (911) 622-17-26;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс ? выходной день";174411 
Братск;BRK3;Иркутская область, г. Братск, ул. Комсомольская, д.16, оф.12;"Тел.:  +7 (3953) 38-42-41; +7 (3953) 38-42- 38 ";"Пн-Пт ? 10:00-19:00 Сб ? 10:00-16:0 Вс ? выходной день";665717 
Брянск;BRK5;г. Брянск, ул. Бурова, д.14;Тел.: +7 (4832) 590-452, +7 (4832) 72-09-50 ;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс ? выходной день";241035 
Брянск;BRK6;г. Брянск, ул. 3 Интернационала, д.4;Тел.: +7 (483) 242-20-20, +7 (900) 355-15-55;"Пн-Вс ? 09.00-19.00 Сб ? 9.00-19.0 Вс ? выходной день";241035 
Брянск;BRK4;г. Брянск,ул. Дуки, д.65;Тел. +7 (4832) 30-40-10 ;"Пн-Пт ? 9.00-19.00 Сб ? 10.00-16.0 Вс ? выходной день";241007 
Бугульма;BUG1;Республика Татарстан, г. Бугульма, ул. Мусы Джалиля, д. 52;Тел.: 8-900-323-56-33;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс ? выходной день";423230 
Великие Луки;VLL1;Псковская область, г. Великие Луки, ул. Ботвина, д. 19, оф. 2;Тел: +7-906-222-99-30;"Пн-Пт ? 10.00-19.00 Сб-10:00 ? 16:00";182104;До 300 кг 
Великий Новгород;VNG1;г. Великий Новгород, ул. Б.Санкт-Петербуржская, д. 39, стр. 11;Тел: +7 (951) 728-70-02;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 , Вс ? выходные дни";173003 
Великий Новгород;VNG2;г. Великий Новгород, ул. Великая, д. 6, корп.  1;Тел. +7 (8162) 780-160;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0  Вс - выходной день";173003 
Видное;VDN1;Московская область, г. Видное, ул. Донбасская д. 2, оф.3;Тел.: +7 (916) 070-56-58;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0  Вс - выходной день";142703 
Витебск;VIT1;г. Витебск, Зеньковой, д.1, оф.1А;Тел.: +3 (7521) 262-22-24;"Пн-Пт 10.00-19.00 Сб 10.00-14.0 Вс ? выходной день";210024 
Владивосток;VLK8;г.Владивосток, пр-т Красного Знамени, д.34;Тел. +7 (962) 338-58-80;"Пн-Пт ? 10.00-20.0 Сб ? 10.00-16.0 Вс ? 10.00-14.00";690106 
Владивосток;VLK4;г. Владивосток, ул. Западная, д. 29, стр.8;Тел.: +7 (423) 272-83-58;"Пн-Пт ? 10.00-20.0 Сб ? 10.00-16.0 Вс ? 10.00-14.00";690091 
Владивосток;VLK5;г. Владивосток, ул. Жигура, д.12;Тел.: +7 (423) 201-44-10;"Пн-Пт ? 10.00-20.0 Сб ? 10.00-16.0 Вс ? 10.00-14.00";690088;До 100 кг 
Владивосток;VLK6;г. Владивосток, ул. Снеговая, д.13;"Тел.: +7 (423) 250-20-15; +7 (423) 250-20-16";"Пн-Пт ? 9.00-20.0 Сб-Вс ? 10.00-16.00";690074 
Владивосток;VLK2 ;г. Владивосток, ул.Давыдова, д.22а ;Тел: +7 (4232) 24-38-54;"Пн-Пт ? 9.00-20.0 Сб ? 10.00-16.0 Вс-10.00-16.00";690069 
Владивосток;VLK7;г. Владивосток,  ул. Героев Тихоокеанцев, д.5а;Тел.: +7 (914) 697-51-54;"Пн-Пт ? 10.00-20.0 Сб ? 10.00-16.0 Вс-10.00-14.00";690017 
Владивосток;VLK3;г. Владивосток, ул.Пушкинская, д.52 ;Тел.: +7 423 256 18 64, +7 423 259 09 00, +7 423 275 53 58;"Пн-Пт ? 9.00-20.0 Сб-Вс ? 09.00-18.00";690001 
Владикавказ;VLZ1 ;г. Владикавказ, пр. Коста, д.213;Тел.: +7 (919) 426-28-78;"Пн-Пт - 9.00-18.00 Сб ? 10.00-16.0 Вс ? выходной день";362020 
Владимир;VLD3;г. Владимир, ул. Тракторная, д.35;Тел.: +7 (4922) 778-664;"Пн-Пт ? 10.00-19.0 Сб ? 10.00-16.0 Вс-выходной день";600026 
Владимир;VLD2;г. Владимир, Октябрьский пр-кт, д.7, оф.72;Тел: +7(4922) 377-003 ;"Пн-Пт 10.00-19.00 Сб 10.00-16.0 Вс ? выходной день";600000 
Волгоград;VLG5;г. Волгоград, ул. 8-й воздушной армии, д.28А, ТЦ Диамант 1 эт;Тел.: +7(8442) 26-95-25, +7 (937) 536-96-26;"Пн-Пт ? 10.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";400137 
Волгоград;VLG9;г.Волгоград, ул. Рабоче-Крестьянская,  д.44/1;Тел.: +7 (8442) 55-15-00,+7 (8442) 55-15-01, +7 (8442) 55-15-0;"Пн-Пт ? 8.00-20.0 Сб ? 10.00-18.0 Вс ? 10.00-14.00";400074 
Волгоград;VLG10;г.Волгоград, ул. Мира,  д.18;Тел.: +7-442-260-466;"Пн-Пт ? 10.00-20.0 Сб ? 10.00-16.0 Вс ? 10.00-14.00";400066 
Волгоград;VLG8;г.Волгоград, б-р Энгельса, д. 29;Тел.: +7(8442) 609-005, +7(8442) 609-007;"Пн-Пт ? 10.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";400026 
Волгодонск;VLG7;г. Волгодонск, ул. М. Кошевого, д.38-Г;Тел.:+7 (863) 209-87-45, +7 (800) 350-04-05;"Пн-Пт ? 9.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";347383 
Волжск;VZHS1;Марий Эл, г. Волжск, Матющенко, д.30Б;Тел.: +7 362 374 374, +7 987 710 2888;"Пн-Пт ? 10.00-19.00 Сб-Вс ? 10.00-16.00";425000 
Волжский;VLZH1;Волгоградская область. г. Волжский, пр. Ленина д. 92Б;Тел.: +7 (8443) 39-11-22, +7 (905) 336-11-22  ;"Пн-Пт - 9.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";404120 
Вологда;VGL4;г. Вологда, ул. Костромская , д.5, цокольный этаж;Тел.: 7-964-303-56-14;"Пн-Пт - 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";160034 
Вологда;VGL3;г. Вологда, ул. Предтеченская, д.72, 1 этаж;Тел.: +7 800 777 07 46;"Пн-Пт - 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";160009 
Волоколамск;VLM2;Московская область, г. Волоколамск, ул. Панфилова, д. 5, оф. 27, этаж 1;Тел.:+7-499-130-08-85;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";143600 
Волхов;VLKH1;Ленинградская область, г. Волхов, ул. Волгоградская д. 15;Тел.: +7-962-686-78-61;"Пн-Пт ? 9.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";187406 
Воронеж;VRN4;Воронеж, ул. Генерала Лизюкова, 17А, ТЦ ?Калинка?;Тел. +7 (473) 300-41-28;"Пн-Пт ? 10.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";394053;До 60 кг 
Воронеж;VRN5;Воронеж, ул. Остужева, д. 28;Тел. +7-473-228-68-45;"Пн-Пт ? 10.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";394042 
Воронеж;VRN1;г. Воронеж, Проспект Труда, д.46/1;Тел.: +7 (473) 233-45-10;"Пн-Пт ? 8.00-20.00 Сб ? 10.00-18.0 Вс ? 10.00-14.00";394026 
Воронеж;VRN3;г. Воронеж, ул. Ленинградская, д.55а;Тел.: +7 (473) 241-03-02;"Пн-Пт ? 10.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";394022;До 30 кг 
Воронеж;VRN7;г. Воронеж, ул. Пушкинская, д 42;Тел.: +7-473-207-17-37, +7-473-229-95-05;"Пн-Пт ? 10.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";394018 
Воронеж;VRN6;г. Воронеж, ул. Ворошилова, д 49а;Тел. + 7-473-300-40-83;"Пн-Пт ? 10.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";394000 
Воскресенск;VKS1;Московская обл., г. Воскресенск, ул. Советская, д.2;Тел.: +7 (495) 133-65-34;"Пн-Пт ? 8.00-20.0 Сб ? 10.00-16.0 Вс-выходной день";140203 
Воткинск;VTK1; Удмуртская Республика, г. Воткинск, Робеспьера, д.17;Тел.: +7 950 814 06 08;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";427440 
Выборг;VBR1;Ленинградская область,г. Выборг, Ленинградское шоссе, д.47;"Тел.: +7 (812) 984-45-54; +7 (962) 684-45-54";"Пн-Пт ? 9.00-19.00 Сб ? 10.00-16.0 Вс ? выходной";188800 
Вязники;VZN1;Вязники, ул. Ленина, 20;Тел.: +7 (49233) 3-12-00, +7 (930) 033-12-00;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";601441 
Вязьма;VZM1;Вязьма, Комсомольская, д.17;Тел.: +7 (920) 300-95-80;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";215110 
Гатчина;GTN1;Ленинградская область, г.Гатчина, пр. 25-го Октября, д.10   ;Тел: (81371) 99527;"Пн-Пт - 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";188300 
Геленджик;GLD2;Краснодарский край, г.Геленджик, ул. Прасковеевская, д.3;Тел.: +7 (988) 605-04-05;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс ? выходной";353460 
Геленджик;GLD3;Краснодарский край, г.Геленджик, ул. Маршала Жукова, д ?;Тел.: +7-861-238-87-47;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс ? выходной";353460 
Георгиевск;GRG1;Ставропольский край, г. Георгиевск, ул. Пушкина, д.48, оф.1;"Тел.: +7 (7951) 5-07-55;  8-938-352-82-33";"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";357820 
Глазов;GLV1;Удмуртия респ., г. Глазов, ул.Пряженников, д.67;Тел.:+7 (912) 444-73-44 , +7 (952) 400-90-70;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";427620 
Глазов;GLV2;Удмуртия респ, г. Глазов, ул. Молодой Гвардии, д 5-А;Тел. +7 (912) 443-72-05;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";427620 
Горно-Алтайск;GOR1;г. Горно-Алтайск , ул. Григория Чорос-Гуркина, д. 45;Тел. : +7 (38822) 2-32-40, +7 (38822) 9-40-60, +7-913-999-40-60;"Пн-Пт ? 9.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";649000 
Гороховец;GOR2;Владимирская область, г.Гороховец, Ленина, д.29;Тел.: +7 (920) 921-48-86;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";601480 
Грозный;GRZ3;г. Грозный, ул. Маяковкого, д.170, оф.1 этаж;Тел.: +7 (8712) 333-555;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";364014 
Губкин;GBK1;Белгородская обл., г. Губкин, ул. Кирова, д. 45;Тел.: +7 (4722) 40-87-38;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс ? выходной";309181 
Джанкой;DNK1;Республика Крым, г.Джанкой, ул. Крымская, д.30в, оф.4;Тел.: +7 (978)123-18-23;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";296100 
Дзержинск;DZZH1;Нижегородская область, г. Дзержинск, ул. Терешковой, д. 8 ;Тел.: +7 (831) 283-54-23, +7 930 283-54-23;"Пн-Пт ? 8.00-20.00 Сб ? 10.00-16.0 Вс - выходной день";606008 
Димитровград;DMG2;Ульяновская область, г. Димитровград, ул. Октябрьская, д.71;Тел.: +7 (84235) 9-57-67, +7 (84235) 9-11-44;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";433505 
Дмитров;DMT2;Московская область, г.Дмитров, ул. Московская, д.3;Тел.: +7 (496) 221 96 70;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";141800 
Долгопрудный;DLP1 ;Московская область, г. Долгопрудный,  ул. Циолковского, д.34;Тел.: +7 (499) 391-18-99, +7 (495) 408-16-76;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";141701 
Домодедово;DMD1;Московская обл., г. Домодедово, ул. Кирова, д.7, оф.1;Тел.: +7 (499) 391-75-83;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";142005 
Дубна;DBN1;Московская область, г. Дубна, пр. Боголюбова, д. 16А ;Тел.+7 (985) 305-05-71, +7 (496) 219-48-04, +7 (496) 219-48-05;"Пн-Пт - 9.00-20.00 Сб ? 10.00-16.0 Вс - выходной день";141986 
Евпатория;EVP1;Крым респ., г.Евпатория, ул. Крупской, д. 60А;Тел. +7-978-065-99-64;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";297406 
Ейск;YES1;Краснодарский край, г. Ейск, ул. К.Маркса, д 39;Тел.: +7-861-205-62-75;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";353690 
Екатеринбург;EKB7;г. Екатеринбург, ул. Степана Разина, д.80;Тел.: +7 (343) 200-08-44;"Пн-Вс ? 9.00-20.00 ";620142;До 30 кг 
Екатеринбург;EKB5;г. Екатеринбург, ул. Белинского, д.232;Тел. +7 (343)379-44-22, (912)-245-0-245;"Пн-Пт ? 10.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";620130;До 30 кг 
Екатеринбург;YEKB2;г. Екатеринбург, ул. Крауля, д.2;Тел.:  7-922-025-09-33;"Пн-Пт ? 9.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";620109 
Екатеринбург;YEKB1;г. Екатеринбург, ул. Шаумяна, д.33;Тел.: +7 343 215 07 87;"Пн-Пт ? 9.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00 ? 14.00";620102 
Екатеринбург;EKB15;г. Екатеринбург, Сибирский тракт, д.12 стр 3, оф.109/2 (БЦ Квартал);Тел.: +7 (343) 345-56-14;"Пн-Пт ? 10.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";620100 
Екатеринбург;EKB9;г. Екатеринбург, ул. Титова, д.19, оф.116;Тел.: +7 (343) 346-96-71, +7 (967) 630-75-67;"Пн-Пт ? 10.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";620085 
Екатеринбург;EKB12;г. Екатеринбург, ул. Техническая, д.51;Тел.+7 (343) 302-28-83;"Пн-Пт ? 10.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";620050 
Екатеринбург;EKB13;г. Екатеринбург, ул. Малышева, д.145Б;Тел.: +7 (343) 374-75-85;"Пн-Пт ? 9.00-20.00 Сб-Вс ? 10.00-16.00";620049 
Екатеринбург;EKB14;г. Екатеринбург, ул. Норильская, д.77, (База Звезда);Тел.: +7 (343) 379-02-02;"Пн-Вс ? 8.00-20.00 ";620033 
Екатеринбург;YEKB4;г. Екатеринбург, ул.Челюскинцев, д 33а;Тел.:  7-922-025-11-20;"Пн-Пт ? 9.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";620027 
Екатеринбург;EKB11;г. Екатеринбург, ул. Рябинина, д.31;Тел.: +7 (343) 300-20-05;"Пн-Пт ? 10.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";620016;До 30 кг 
Екатеринбург;EKB8;г. Екатеринбург, ул. Вайнера, д.51Б, оф.1-3;Тел.: +7 (343) 379-00-46;"Пн-Пт ? 10.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-17.00";620014;До 30 кг 
Екатеринбург;EKB10;г. Екатеринбург, ул. Машиностроителей, д.19, оф.187, необходимо удостоверение личности;Тел.: +7 (343) 290-50-26;"Пн-Пт ? 10.00-20.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";620012 
Елабуга;ELB1;г. Елабуга, ул. Интернациональная, д.3;Тел.: +7 (927) 441-89-27;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";423602 
Елец;YELTS1;г. Елец, ул. Ленина, д.80а;Тел.: + 7 474 675 99 70, +7 904 694 44 33;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс ? 10.00-14.00";399770 
Елизово;ELV1;Камчатский край, г. Елизово, ул. Виталия Кручины, д.26А;Тел.: +7 (4152) 341-500;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";684000 
Ессентуки;ESN2;Ставропольский край, г. Ессентуки, ул. Ермолова, д.123;Тел.: +7 (87934) 4-88-55;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16:0 Вс ? выходной";357635 
Железноводск;ZHES1;Ставропольский край, г. Железноводск, ул. Ленина д.97, оф 2;Тел.: +7-918-715-04-05;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16:0 Вс ? выходной";357400 
Железнодорожный;ZHLD1;Московская область, г. Железнодорожный, ул. Октябрьская, д.25, к.1;Тел.: +7 (499) 394-02-01;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";143980 
Железнодорожный;ZHLD2;Московская область, г. Железнодорожный, ул. Речная, 16;Тел.: +7 (495) 664-55-24;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день" ;
Жуковский;ZHKV1;Московская область, г. Жуковский, ул. Луч, д.20;Тел.: +7 (499) 390 91 77;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс ? выходной";140180 
Забайкальск;ZBK2;г. Забайкальск, ул. Комсомольская, 50а;Тел: +7 (924)479-27-74;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";674650 
Забайкальск;ZBK3;г. Забайкальск, ул. Северная, д.72;Тел.: +7-914-130-41-42,  +7-914-500-58-38;"Пн-Пт ? 9.00-20.00 Сб ? 10.00-16.0 Вс - выходной день";674650 
Заречный;ZRN1;Пензенская обл., г. Заречный, ул. Ленина, д.47;Тел.: +7 841 261 06 10;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";442960 
Звенигород;ZVG1 ;Московская область, г. Звенигород, ул. Московская, д. 35А;Тел.: +7 (499) 703-49-78;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";143180;До 30 кг 
Зеленогорск;ZLG1;Красноярский край, г. Зеленогорск, ул. Советская, д.6;Тел. +7 (983) 205-67-14;"Пн-Пт ? 10.00-19.00 Сб ? 10.00-16.0 Вс - выходной день";663690 
Зеленоград;ZLN2;Московская область, г. Зеленоград, Крюковская площадь, д. 1А ТЦ Крюковская Эстакада;"Тел. +7 (926) 790-77-73; +7 (977) 988-33-86";"Пн-Пт ? 10.00-20.00 Сб ? 10.00-16.0 Вс - выходной день";124681 
